,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date
45,74.687,A12,2,0.125,8,MM gluc+AA,CG,1,1,5/27/22
46,149.371,A12,2,0.125,8,MM gluc+AA,CG,1,1,5/27/22
47,224.07,A12,2,0.125,8,MM gluc+AA,CG,1,1,5/27/22
48,0.0,B1,58,1.0,1,MM gluc+AA,PA14 WT,1,1,5/27/22
49,74.687,B1,58,1.0,1,MM gluc+AA,PA14 WT,1,1,5/27/22
50,149.371,B1,57,1.0,1,MM gluc+AA,PA14 WT,1,1,5/27/22
51,224.07,B1,57,1.0,1,MM gluc+AA,PA14 WT,1,1,5/27/22
52,0.0,B2,35,0.5,2,MM gluc+AA,PA14 WT,1,1,5/27/22
53,74.687,B2,35,0.5,2,MM gluc+AA,PA14 WT,1,1,5/27/22
54,149.371,B2,35,0.5,2,MM gluc+AA,PA14 WT,1,1,5/27/22
55,224.07,B2,35,0.5,2,MM gluc+AA,PA14 WT,1,1,5/27/22
56,0.0,B3,19,0.25,4,MM gluc+AA,PA14 WT,1,1,5/27/22
57,74.687,B3,20,0.25,4,MM gluc+AA,PA14 WT,1,1,5/27/22
58,149.371,B3,20,0.25,4,MM gluc+AA,PA14 WT,1,1,5/27/22
59,224.07,B3,20,0.25,4,MM gluc+AA,PA14 WT,1,1,5/27/22
60,0.0,B4,11,0.125,8,MM gluc+AA,PA14 WT,1,1,5/27/22
61,74.687,B4,11,0.125,8,MM gluc+AA,PA14 WT,1,1,5/27/22
62,149.371,B4,12,0.125,8,MM gluc+AA,PA14 WT,1,1,5/27/22
63,224.07,B4,11,0.125,8,MM gluc+AA,PA14 WT,1,1,5/27/22
64,0.0,B5,13,1.0,1,MM gluc+AA,PS,1,1,5/27/22
65,74.687,B5,13,1.0,1,MM gluc+AA,PS,1,1,5/27/22
66,149.371,B5,13,1.0,1,MM gluc+AA,PS,1,1,5/27/22
67,224.07,B5,13,1.0,1,MM gluc+AA,PS,1,1,5/27/22
68,0.0,B6,8,0.5,2,MM gluc+AA,PS,1,1,5/27/22
69,74.687,B6,8,0.5,2,MM gluc+AA,PS,1,1,5/27/22
70,149.371,B6,8,0.5,2,MM gluc+AA,PS,1,1,5/27/22
71,224.07,B6,8,0.5,2,MM gluc+AA,PS,1,1,5/27/22
72,0.0,B7,6,0.25,4,MM gluc+AA,PS,1,1,5/27/22
73,74.687,B7,6,0.25,4,MM gluc+AA,PS,1,1,5/27/22
74,149.371,B7,6,0.25,4,MM gluc+AA,PS,1,1,5/27/22
75,224.07,B7,7,0.25,4,MM gluc+AA,PS,1,1,5/27/22
76,0.0,B8,4,0.125,8,MM gluc+AA,PS,1,1,5/27/22
77,74.687,B8,4,0.125,8,MM gluc+AA,PS,1,1,5/27/22
78,149.371,B8,3,0.125,8,MM gluc+AA,PS,1,1,5/27/22
79,224.07,B8,4,0.125,8,MM gluc+AA,PS,1,1,5/27/22
80,0.0,B9,10,1.0,1,MM gluc+AA,CG,1,1,5/27/22
81,74.687,B9,11,1.0,1,MM gluc+AA,CG,1,1,5/27/22
82,149.371,B9,10,1.0,1,MM gluc+AA,CG,1,1,5/27/22
83,224.07,B9,11,1.0,1,MM gluc+AA,CG,1,1,5/27/22
84,0.0,B10,6,0.5,2,MM gluc+AA,CG,1,1,5/27/22
85,74.687,B10,6,0.5,2,MM gluc+AA,CG,1,1,5/27/22
86,149.371,B10,6,0.5,2,MM gluc+AA,CG,1,1,5/27/22
87,224.07,B10,6,0.5,2,MM gluc+AA,CG,1,1,5/27/22
88,0.0,B11,4,0.25,4,MM gluc+AA,CG,1,1,5/27/22
89,74.687,B11,4,0.25,4,MM gluc+AA,CG,1,1,5/27/22
90,149.371,B11,4,0.25,4,MM gluc+AA,CG,1,1,5/27/22
91,224.07,B11,4,0.25,4,MM gluc+AA,CG,1,1,5/27/22
92,0.0,B12,3,0.125,8,MM gluc+AA,CG,1,1,5/27/22
93,74.687,B12,2,0.125,8,MM gluc+AA,CG,1,1,5/27/22
94,149.371,B12,3,0.125,8,MM gluc+AA,CG,1,1,5/27/22
95,224.07,B12,3,0.125,8,MM gluc+AA,CG,1,1,5/27/22
96,0.0,C1,53,1.0,1,MM gluc+AA,PA14 WT,2,1,5/27/22
97,74.687,C1,54,1.0,1,MM gluc+AA,PA14 WT,2,1,5/27/22
98,149.371,C1,53,1.0,1,MM gluc+AA,PA14 WT,2,1,5/27/22
99,224.07,C1,54,1.0,1,MM gluc+AA,PA14 WT,2,1,5/27/22
100,0.0,C2,36,0.5,2,MM gluc+AA,PA14 WT,2,1,5/27/22
101,74.687,C2,36,0.5,2,MM gluc+AA,PA14 WT,2,1,5/27/22
102,149.371,C2,36,0.5,2,MM gluc+AA,PA14 WT,2,1,5/27/22
103,224.07,C2,36,0.5,2,MM gluc+AA,PA14 WT,2,1,5/27/22
104,0.0,C3,19,0.25,4,MM gluc+AA,PA14 WT,2,1,5/27/22
105,74.687,C3,19,0.25,4,MM gluc+AA,PA14 WT,2,1,5/27/22
106,149.371,C3,19,0.25,4,MM gluc+AA,PA14 WT,2,1,5/27/22
107,224.07,C3,19,0.25,4,MM gluc+AA,PA14 WT,2,1,5/27/22
108,0.0,C4,12,0.125,8,MM gluc+AA,PA14 WT,2,1,5/27/22
109,74.687,C4,12,0.125,8,MM gluc+AA,PA14 WT,2,1,5/27/22
110,149.371,C4,12,0.125,8,MM gluc+AA,PA14 WT,2,1,5/27/22
111,224.07,C4,12,0.125,8,MM gluc+AA,PA14 WT,2,1,5/27/22
112,0.0,C5,13,1.0,1,MM gluc+AA,PS,2,1,5/27/22
113,74.687,C5,13,1.0,1,MM gluc+AA,PS,2,1,5/27/22
114,149.371,C5,13,1.0,1,MM gluc+AA,PS,2,1,5/27/22
115,224.07,C5,13,1.0,1,MM gluc+AA,PS,2,1,5/27/22
116,0.0,C6,8,0.5,2,MM gluc+AA,PS,2,1,5/27/22
117,74.687,C6,9,0.5,2,MM gluc+AA,PS,2,1,5/27/22
118,149.371,C6,8,0.5,2,MM gluc+AA,PS,2,1,5/27/22
119,224.07,C6,8,0.5,2,MM gluc+AA,PS,2,1,5/27/22
120,0.0,C7,6,0.25,4,MM gluc+AA,PS,2,1,5/27/22
121,74.687,C7,6,0.25,4,MM gluc+AA,PS,2,1,5/27/22
122,149.371,C7,6,0.25,4,MM gluc+AA,PS,2,1,5/27/22
123,224.07,C7,7,0.25,4,MM gluc+AA,PS,2,1,5/27/22
124,0.0,C8,4,0.125,8,MM gluc+AA,PS,2,1,5/27/22
125,74.687,C8,4,0.125,8,MM gluc+AA,PS,2,1,5/27/22
126,149.371,C8,4,0.125,8,MM gluc+AA,PS,2,1,5/27/22
127,224.07,C8,4,0.125,8,MM gluc+AA,PS,2,1,5/27/22
128,0.0,C9,12,1.0,1,MM gluc+AA,CG,2,1,5/27/22
129,74.687,C9,11,1.0,1,MM gluc+AA,CG,2,1,5/27/22
130,149.371,C9,11,1.0,1,MM gluc+AA,CG,2,1,5/27/22
131,224.07,C9,11,1.0,1,MM gluc+AA,CG,2,1,5/27/22
132,0.0,C10,6,0.5,2,MM gluc+AA,CG,2,1,5/27/22
133,74.687,C10,6,0.5,2,MM gluc+AA,CG,2,1,5/27/22
134,149.371,C10,6,0.5,2,MM gluc+AA,CG,2,1,5/27/22
135,224.07,C10,6,0.5,2,MM gluc+AA,CG,2,1,5/27/22
136,0.0,C11,4,0.25,4,MM gluc+AA,CG,2,1,5/27/22
137,74.687,C11,5,0.25,4,MM gluc+AA,CG,2,1,5/27/22
138,149.371,C11,5,0.25,4,MM gluc+AA,CG,2,1,5/27/22
139,224.07,C11,5,0.25,4,MM gluc+AA,CG,2,1,5/27/22
140,0.0,C12,3,0.125,8,MM gluc+AA,CG,2,1,5/27/22
141,74.687,C12,3,0.125,8,MM gluc+AA,CG,2,1,5/27/22
142,149.371,C12,3,0.125,8,MM gluc+AA,CG,2,1,5/27/22
143,224.07,C12,3,0.125,8,MM gluc+AA,CG,2,1,5/27/22
144,0.0,D1,60,1.0,1,MM gluc+AA,PA14 WT,2,1,5/27/22
145,74.687,D1,61,1.0,1,MM gluc+AA,PA14 WT,2,1,5/27/22
146,149.371,D1,60,1.0,1,MM gluc+AA,PA14 WT,2,1,5/27/22
147,224.07,D1,61,1.0,1,MM gluc+AA,PA14 WT,2,1,5/27/22
148,0.0,D2,36,0.5,2,MM gluc+AA,PA14 WT,2,1,5/27/22
149,74.687,D2,36,0.5,2,MM gluc+AA,PA14 WT,2,1,5/27/22
150,149.371,D2,35,0.5,2,MM gluc+AA,PA14 WT,2,1,5/27/22
151,224.07,D2,36,0.5,2,MM gluc+AA,PA14 WT,2,1,5/27/22
152,0.0,D3,20,0.25,4,MM gluc+AA,PA14 WT,2,1,5/27/22
153,74.687,D3,20,0.25,4,MM gluc+AA,PA14 WT,2,1,5/27/22
154,149.371,D3,20,0.25,4,MM gluc+AA,PA14 WT,2,1,5/27/22
155,224.07,D3,20,0.25,4,MM gluc+AA,PA14 WT,2,1,5/27/22
156,0.0,D4,13,0.125,8,MM gluc+AA,PA14 WT,2,1,5/27/22
157,74.687,D4,13,0.125,8,MM gluc+AA,PA14 WT,2,1,5/27/22
158,149.371,D4,13,0.125,8,MM gluc+AA,PA14 WT,2,1,5/27/22
159,224.07,D4,14,0.125,8,MM gluc+AA,PA14 WT,2,1,5/27/22
160,0.0,D5,14,1.0,1,MM gluc+AA,PS,2,1,5/27/22
161,74.687,D5,13,1.0,1,MM gluc+AA,PS,2,1,5/27/22
162,149.371,D5,13,1.0,1,MM gluc+AA,PS,2,1,5/27/22
163,224.07,D5,13,1.0,1,MM gluc+AA,PS,2,1,5/27/22
164,0.0,D6,9,0.5,2,MM gluc+AA,PS,2,1,5/27/22
165,74.687,D6,9,0.5,2,MM gluc+AA,PS,2,1,5/27/22
166,149.371,D6,9,0.5,2,MM gluc+AA,PS,2,1,5/27/22
167,224.07,D6,9,0.5,2,MM gluc+AA,PS,2,1,5/27/22
168,0.0,D7,6,0.25,4,MM gluc+AA,PS,2,1,5/27/22
169,74.687,D7,6,0.25,4,MM gluc+AA,PS,2,1,5/27/22
170,149.371,D7,6,0.25,4,MM gluc+AA,PS,2,1,5/27/22
171,224.07,D7,6,0.25,4,MM gluc+AA,PS,2,1,5/27/22
172,0.0,D8,4,0.125,8,MM gluc+AA,PS,2,1,5/27/22
173,74.687,D8,4,0.125,8,MM gluc+AA,PS,2,1,5/27/22
174,149.371,D8,4,0.125,8,MM gluc+AA,PS,2,1,5/27/22
175,224.07,D8,4,0.125,8,MM gluc+AA,PS,2,1,5/27/22
176,0.0,D9,11,1.0,1,MM gluc+AA,CG,2,1,5/27/22
177,74.687,D9,11,1.0,1,MM gluc+AA,CG,2,1,5/27/22
178,149.371,D9,11,1.0,1,MM gluc+AA,CG,2,1,5/27/22
179,224.07,D9,11,1.0,1,MM gluc+AA,CG,2,1,5/27/22
180,0.0,D10,7,0.5,2,MM gluc+AA,CG,2,1,5/27/22
181,74.687,D10,7,0.5,2,MM gluc+AA,CG,2,1,5/27/22
182,149.371,D10,7,0.5,2,MM gluc+AA,CG,2,1,5/27/22
183,224.07,D10,7,0.5,2,MM gluc+AA,CG,2,1,5/27/22
184,0.0,D11,4,0.25,4,MM gluc+AA,CG,2,1,5/27/22
185,74.687,D11,4,0.25,4,MM gluc+AA,CG,2,1,5/27/22
186,149.371,D11,4,0.25,4,MM gluc+AA,CG,2,1,5/27/22
187,224.07,D11,4,0.25,4,MM gluc+AA,CG,2,1,5/27/22
188,0.0,D12,3,0.125,8,MM gluc+AA,CG,2,1,5/27/22
189,74.687,D12,3,0.125,8,MM gluc+AA,CG,2,1,5/27/22
190,149.371,D12,3,0.125,8,MM gluc+AA,CG,2,1,5/27/22
191,224.07,D12,3,0.125,8,MM gluc+AA,CG,2,1,5/27/22
192,0.0,E1,31,1.0,1,MM gluc+AA,EC WT,1,1,5/27/22
193,74.687,E1,31,1.0,1,MM gluc+AA,EC WT,1,1,5/27/22
194,149.371,E1,31,1.0,1,MM gluc+AA,EC WT,1,1,5/27/22
195,224.07,E1,31,1.0,1,MM gluc+AA,EC WT,1,1,5/27/22
196,0.0,E2,19,0.5,2,MM gluc+AA,EC WT,1,1,5/27/22
197,74.687,E2,20,0.5,2,MM gluc+AA,EC WT,1,1,5/27/22
198,149.371,E2,20,0.5,2,MM gluc+AA,EC WT,1,1,5/27/22
199,224.07,E2,20,0.5,2,MM gluc+AA,EC WT,1,1,5/27/22
200,0.0,E3,10,0.25,4,MM gluc+AA,EC WT,1,1,5/27/22
201,74.687,E3,11,0.25,4,MM gluc+AA,EC WT,1,1,5/27/22
202,149.371,E3,11,0.25,4,MM gluc+AA,EC WT,1,1,5/27/22
203,224.07,E3,11,0.25,4,MM gluc+AA,EC WT,1,1,5/27/22
204,0.0,E4,6,0.125,8,MM gluc+AA,EC WT,1,1,5/27/22
205,74.687,E4,6,0.125,8,MM gluc+AA,EC WT,1,1,5/27/22
206,149.371,E4,6,0.125,8,MM gluc+AA,EC WT,1,1,5/27/22
207,224.07,E4,6,0.125,8,MM gluc+AA,EC WT,1,1,5/27/22
208,0.0,E5,12,1.0,1,MM gluc+AA,BG,1,1,5/27/22
209,74.687,E5,12,1.0,1,MM gluc+AA,BG,1,1,5/27/22
210,149.371,E5,12,1.0,1,MM gluc+AA,BG,1,1,5/27/22
211,224.07,E5,12,1.0,1,MM gluc+AA,BG,1,1,5/27/22
212,0.0,E6,7,0.5,2,MM gluc+AA,BG,1,1,5/27/22
213,74.687,E6,8,0.5,2,MM gluc+AA,BG,1,1,5/27/22
214,149.371,E6,8,0.5,2,MM gluc+AA,BG,1,1,5/27/22
215,224.07,E6,8,0.5,2,MM gluc+AA,BG,1,1,5/27/22
216,0.0,E7,5,0.25,4,MM gluc+AA,BG,1,1,5/27/22
217,74.687,E7,5,0.25,4,MM gluc+AA,BG,1,1,5/27/22
218,149.371,E7,5,0.25,4,MM gluc+AA,BG,1,1,5/27/22
219,224.07,E7,5,0.25,4,MM gluc+AA,BG,1,1,5/27/22
220,0.0,E8,3,0.125,8,MM gluc+AA,BG,1,1,5/27/22
221,74.687,E8,3,0.125,8,MM gluc+AA,BG,1,1,5/27/22
222,149.371,E8,3,0.125,8,MM gluc+AA,BG,1,1,5/27/22
223,224.07,E8,3,0.125,8,MM gluc+AA,BG,1,1,5/27/22
224,0.0,E9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
225,74.687,E9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
226,149.371,E9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
227,224.07,E9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
228,0.0,E10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
229,74.687,E10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
230,149.371,E10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
231,224.07,E10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
232,0.0,E11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
233,74.687,E11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
234,149.371,E11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
235,224.07,E11,2,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
236,0.0,E12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
237,74.687,E12,2,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
238,149.371,E12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
239,224.07,E12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
240,0.0,F1,33,1.0,1,MM gluc+AA,EC WT,1,1,5/27/22
241,74.687,F1,34,1.0,1,MM gluc+AA,EC WT,1,1,5/27/22
242,149.371,F1,34,1.0,1,MM gluc+AA,EC WT,1,1,5/27/22
243,224.07,F1,34,1.0,1,MM gluc+AA,EC WT,1,1,5/27/22
244,0.0,F2,19,0.5,2,MM gluc+AA,EC WT,1,1,5/27/22
245,74.687,F2,20,0.5,2,MM gluc+AA,EC WT,1,1,5/27/22
246,149.371,F2,20,0.5,2,MM gluc+AA,EC WT,1,1,5/27/22
247,224.07,F2,20,0.5,2,MM gluc+AA,EC WT,1,1,5/27/22
248,0.0,F3,11,0.25,4,MM gluc+AA,EC WT,1,1,5/27/22
249,74.687,F3,10,0.25,4,MM gluc+AA,EC WT,1,1,5/27/22
250,149.371,F3,10,0.25,4,MM gluc+AA,EC WT,1,1,5/27/22
251,224.07,F3,11,0.25,4,MM gluc+AA,EC WT,1,1,5/27/22
252,0.0,F4,6,0.125,8,MM gluc+AA,EC WT,1,1,5/27/22
253,74.687,F4,7,0.125,8,MM gluc+AA,EC WT,1,1,5/27/22
254,149.371,F4,6,0.125,8,MM gluc+AA,EC WT,1,1,5/27/22
255,224.07,F4,7,0.125,8,MM gluc+AA,EC WT,1,1,5/27/22
256,0.0,F5,13,1.0,1,MM gluc+AA,BG,1,1,5/27/22
257,74.687,F5,13,1.0,1,MM gluc+AA,BG,1,1,5/27/22
258,149.371,F5,13,1.0,1,MM gluc+AA,BG,1,1,5/27/22
259,224.07,F5,13,1.0,1,MM gluc+AA,BG,1,1,5/27/22
260,0.0,F6,8,0.5,2,MM gluc+AA,BG,1,1,5/27/22
261,74.687,F6,9,0.5,2,MM gluc+AA,BG,1,1,5/27/22
262,149.371,F6,8,0.5,2,MM gluc+AA,BG,1,1,5/27/22
263,224.07,F6,9,0.5,2,MM gluc+AA,BG,1,1,5/27/22
264,0.0,F7,4,0.25,4,MM gluc+AA,BG,1,1,5/27/22
265,74.687,F7,4,0.25,4,MM gluc+AA,BG,1,1,5/27/22
266,149.371,F7,5,0.25,4,MM gluc+AA,BG,1,1,5/27/22
267,224.07,F7,5,0.25,4,MM gluc+AA,BG,1,1,5/27/22
268,0.0,F8,3,0.125,8,MM gluc+AA,BG,1,1,5/27/22
269,74.687,F8,3,0.125,8,MM gluc+AA,BG,1,1,5/27/22
270,149.371,F8,3,0.125,8,MM gluc+AA,BG,1,1,5/27/22
271,224.07,F8,3,0.125,8,MM gluc+AA,BG,1,1,5/27/22
272,0.0,F9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
273,74.687,F9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
274,149.371,F9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
275,224.07,F9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
276,0.0,F10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
277,74.687,F10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
278,149.371,F10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
279,224.07,F10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
280,0.0,F11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
281,74.687,F11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
282,149.371,F11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
283,224.07,F11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
284,0.0,F12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
285,74.687,F12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
286,149.371,F12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
287,224.07,F12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
288,0.0,G1,31,1.0,1,MM gluc+AA,EC WT,2,1,5/27/22
289,74.687,G1,32,1.0,1,MM gluc+AA,EC WT,2,1,5/27/22
290,149.371,G1,32,1.0,1,MM gluc+AA,EC WT,2,1,5/27/22
291,224.07,G1,32,1.0,1,MM gluc+AA,EC WT,2,1,5/27/22
292,0.0,G2,18,0.5,2,MM gluc+AA,EC WT,2,1,5/27/22
293,74.687,G2,20,0.5,2,MM gluc+AA,EC WT,2,1,5/27/22
294,149.371,G2,19,0.5,2,MM gluc+AA,EC WT,2,1,5/27/22
295,224.07,G2,19,0.5,2,MM gluc+AA,EC WT,2,1,5/27/22
296,0.0,G3,11,0.25,4,MM gluc+AA,EC WT,2,1,5/27/22
297,74.687,G3,11,0.25,4,MM gluc+AA,EC WT,2,1,5/27/22
298,149.371,G3,11,0.25,4,MM gluc+AA,EC WT,2,1,5/27/22
299,224.07,G3,11,0.25,4,MM gluc+AA,EC WT,2,1,5/27/22
300,0.0,G4,6,0.125,8,MM gluc+AA,EC WT,2,1,5/27/22
301,74.687,G4,6,0.125,8,MM gluc+AA,EC WT,2,1,5/27/22
302,149.371,G4,6,0.125,8,MM gluc+AA,EC WT,2,1,5/27/22
303,224.07,G4,6,0.125,8,MM gluc+AA,EC WT,2,1,5/27/22
304,0.0,G5,12,1.0,1,MM gluc+AA,BG,2,1,5/27/22
305,74.687,G5,12,1.0,1,MM gluc+AA,BG,2,1,5/27/22
306,149.371,G5,13,1.0,1,MM gluc+AA,BG,2,1,5/27/22
307,224.07,G5,12,1.0,1,MM gluc+AA,BG,2,1,5/27/22
308,0.0,G6,7,0.5,2,MM gluc+AA,BG,2,1,5/27/22
309,74.687,G6,8,0.5,2,MM gluc+AA,BG,2,1,5/27/22
310,149.371,G6,8,0.5,2,MM gluc+AA,BG,2,1,5/27/22
311,224.07,G6,8,0.5,2,MM gluc+AA,BG,2,1,5/27/22
312,0.0,G7,5,0.25,4,MM gluc+AA,BG,2,1,5/27/22
313,74.687,G7,5,0.25,4,MM gluc+AA,BG,2,1,5/27/22
314,149.371,G7,5,0.25,4,MM gluc+AA,BG,2,1,5/27/22
315,224.07,G7,5,0.25,4,MM gluc+AA,BG,2,1,5/27/22
316,0.0,G8,3,0.125,8,MM gluc+AA,BG,2,1,5/27/22
317,74.687,G8,2,0.125,8,MM gluc+AA,BG,2,1,5/27/22
318,149.371,G8,3,0.125,8,MM gluc+AA,BG,2,1,5/27/22
319,224.07,G8,3,0.125,8,MM gluc+AA,BG,2,1,5/27/22
320,0.0,G9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
321,74.687,G9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
322,149.371,G9,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
323,224.07,G9,2,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
324,0.0,G10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
325,74.687,G10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
326,149.371,G10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
327,224.07,G10,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
328,0.0,G11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
329,74.687,G11,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
330,149.371,G11,2,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
331,224.07,G11,2,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
332,0.0,G12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
333,74.687,G12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
334,149.371,G12,2,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
335,224.07,G12,1,1.0,1,MM gluc+AA,BLANK,1,1,5/27/22
336,0.0,H1,31,1.0,1,MM gluc+AA,EC WT,2,1,5/27/22
337,74.687,H1,31,1.0,1,MM gluc+AA,EC WT,2,1,5/27/22
338,149.371,H1,32,1.0,1,MM gluc+AA,EC WT,2,1,5/27/22
339,224.07,H1,31,1.0,1,MM gluc+AA,EC WT,2,1,5/27/22
340,0.0,H2,18,0.5,2,MM gluc+AA,EC WT,2,1,5/27/22
341,74.687,H2,19,0.5,2,MM gluc+AA,EC WT,2,1,5/27/22
342,149.371,H2,19,0.5,2,MM gluc+AA,EC WT,2,1,5/27/22
343,224.07,H2,19,0.5,2,MM gluc+AA,EC WT,2,1,5/27/22
